content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
きみが御座《おわ》す場所は遍《あまね》く玉座ほら畳んだシャツも空き段ボールも,お題「王」で作った短歌です。わたしの短歌の「きみ」は常に猫なのですが、猫がいる家はおおよそこの内容に同意していただけるのではないかと。家の中で一番偉いのは猫、地べたには寝ずに何かの上に乗ります。その様子を少々大仰に。,,,"Oct 1, 2025 8:18 pm",https://x.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
君と僕は最初のキリン周りより長い首を隠して生きる,,,,"Oct 4, 2025 11:18 pm",https://x.com/okanocoelacanth,みぎひと,CC BY-NC-ND 4.0
"おとなって注射をしてもアンパンマンシールは貼って貰えないんだ
",,,,"Oct 1, 2025 3:59 am",https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
舞い降りた銀のエンジェル4枚目　あと1枚で会社を辞める,誰かに背中を押してほしくて。,,,"Sep 30, 2025 8:29 pm",https://x.com/MishinOga,大賀ミシン,CC BY-NC-ND 4.0
街に咲くはなばなの名をわれに説き名は愛だよとわれの名を呼ぶ,,,,"Sep 30, 2025 6:41 pm",https://x.com/morning__calm,朝凪たまご,CC BY-NC-ND 4.0
終わることは始まりだろう竹の花百年先は見知らぬ世界,,,,"Sep 30, 2025 6:03 pm",https://x.com/sorapoky,山口絢子,CC BY-NC-ND 4.0
あのひとはひだりへと 水たまりには紅葉ひとひら秋へゆく舟,,,,"Oct 1, 2025 7:58 am",https://x.com/Koharu_kura,くらたか湖春,CC BY-NC-ND 4.0
川べりをべりべり歩く　秋を踏むような感じがベリベリグッド,,,,"Oct 4, 2025 10:41 pm",https://x.com/ttmx6,畳川鷺々,CC BY-NC-ND 4.0
遠からんパンゲアの地に指を置きこども心のやうな境目,,,,"Oct 6, 2025 12:22 am",https://x.com/6r2Nh,納戸青,CC BY-NC-ND 4.0
ほんとうは驚いたけど驚いちゃだめな気がして握りかえした,,,,"Oct 2, 2025 2:09 pm",https://x.com/tsu6gi_hoshi,星つむぎ,CC BY-NC-ND 4.0
今生で選ばなかった未来たち書庫でおやすみ　いつか会おうね,,,,"Oct 5, 2025 1:32 am",https://x.com/leslie_bekkie,別木れすり,CC BY-NC-ND 4.0
"《君の詩、君の手》
君の詩も大好きだけどひたむきに詩を書いているその手、気になる",,,,"Sep 28, 2025 6:58 pm",https://x.com/@sohbungaku,ソホ。,CC BY-NC-ND 4.0
せがまれて抱き上げる猫しがみ付くTシャツの肩、穴の愛しき,,,,"Oct 1, 2025 9:15 pm",https://x.com/yoimane_57577,よいまね,CC BY-NC-ND 4.0
"密やかな祝福としてできるだけ多くに今日の日付を記す
",,,,"Sep 29, 2025 8:08 pm",https://x.com/18necco18,宮緖かよ,CC BY-NC-ND 4.0
「彼岸花を曼珠沙華という人が嫌い」母が僕より若かった頃,,,,"Sep 26, 2025 1:23 am",https://x.com/mukadeyakata,新井宗彦,CC BY-NC-ND 4.0
夏はもう終わってください　行合の空よ、ここにも秋をください,,,,"Oct 1, 2025 9:11 pm",https://x.com/yoimane_57577,よいまね,CC BY-NC-ND 4.0
わたくしがなりたいものは花でなく果実でもなくただの月です,,,,"Oct 6, 2025 3:16 pm",https://x.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
あの人は私ではない人を待つ彼岸花のかんざし挿して,,,,"Sep 30, 2025 6:43 pm",https://x.com/morning__calm,朝凪たまご,CC BY-NC-ND 4.0
夕焼けはだれかの地獄かもしれず影の長さは嘘をつけない,,,,"Oct 6, 2025 11:26 pm",https://x.com/yoshinani_tanka,よしなに,CC BY-NC-ND 4.0
一度しか死ねない僕が水換えをする豆苗の緑　まぶしい,,,,"Oct 1, 2025 7:58 am",https://x.com/Koharu_kura,くらたか湖春,CC BY-NC-ND 4.0
さみしくはないよ 雪見だいふくはひとりでふたつ食うためにある,,,,"Oct 2, 2025 12:02 pm",https://x.com/yarukatanashi,ヤマメ,CC BY-NC-ND 4.0
